,world_rank,university_name,country,total_score,variable,value
0,1,California Institute of Technology,United States of America,95.2,teaching,95.6
2884,1,California Institute of Technology,United States of America,95.2,income,97.8
721,1,California Institute of Technology,United States of America,95.2,international,64
1442,1,California Institute of Technology,United States of America,95.2,research,97.6
2163,1,California Institute of Technology,United States of America,95.2,citations,99.8
3030,2,University of Oxford,United Kingdom,94.2,income,73.1
2309,2,University of Oxford,United Kingdom,94.2,citations,98.8
867,2,University of Oxford,United Kingdom,94.2,international,94.4
146,2,University of Oxford,United Kingdom,94.2,teaching,86.5
1588,2,University of Oxford,United Kingdom,94.2,research,98.9
1,3,Stanford University,United States of America,93.9,teaching,92.5
2885,3,Stanford University,United States of America,93.9,income,63.3
1443,3,Stanford University,United States of America,93.9,research,96.2
722,3,Stanford University,United States of America,93.9,international,76.3
2164,3,Stanford University,United States of America,93.9,citations,99.9
2310,4,University of Cambridge,United Kingdom,92.8,citations,97
1589,4,University of Cambridge,United Kingdom,92.8,research,96.7
3031,4,University of Cambridge,United Kingdom,92.8,income,55
147,4,University of Cambridge,United Kingdom,92.8,teaching,88.2
868,4,University of Cambridge,United Kingdom,92.8,international,91.5
1444,5,Massachusetts Institute of Technology,United States of America,92,research,88.6
723,5,Massachusetts Institute of Technology,United States of America,92,international,84
2,5,Massachusetts Institute of Technology,United States of America,92,teaching,89.4
2165,5,Massachusetts Institute of Technology,United States of America,92,citations,99.7
2886,5,Massachusetts Institute of Technology,United States of America,92,income,95.4
2166,6,Harvard University,United States of America,91.6,citations,99.8
1445,6,Harvard University,United States of America,91.6,research,99
2887,6,Harvard University,United States of America,91.6,income,45.2
724,6,Harvard University,United States of America,91.6,international,77.2
3,6,Harvard University,United States of America,91.6,teaching,83.6
1446,7,Princeton University,United States of America,90.1,research,91.9
4,7,Princeton University,United States of America,90.1,teaching,85.1
2167,7,Princeton University,United States of America,90.1,citations,99.3
725,7,Princeton University,United States of America,90.1,international,78.5
2888,7,Princeton University,United States of America,90.1,income,52.1
3032,8,Imperial College London,United Kingdom,89.1,income,53.7
148,8,Imperial College London,United Kingdom,89.1,teaching,83.3
869,8,Imperial College London,United Kingdom,89.1,international,96
1590,8,Imperial College London,United Kingdom,89.1,research,88.5
2311,8,Imperial College London,United Kingdom,89.1,citations,96.7
944,9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,88.3,international,97.9
223,9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,88.3,teaching,77
1665,9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,88.3,research,95
3107,9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,88.3,income,80
2386,9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,88.3,citations,91.1
1447,10,University of Chicago,United States of America,87.9,research,88.9
5,10,University of Chicago,United States of America,87.9,teaching,85.7
2168,10,University of Chicago,United States of America,87.9,citations,99.2
2889,10,University of Chicago,United States of America,87.9,income,36.6
726,10,University of Chicago,United States of America,87.9,international,65
2890,11,Johns Hopkins University,United States of America,87.6,income,100
1448,11,Johns Hopkins University,United States of America,87.6,research,90.4
727,11,Johns Hopkins University,United States of America,87.6,international,70
6,11,Johns Hopkins University,United States of America,87.6,teaching,77.6
2169,11,Johns Hopkins University,United States of America,87.6,citations,98.2
728,12,Yale University,United States of America,87.4,international,64.3
2170,12,Yale University,United States of America,87.4,citations,97.2
7,12,Yale University,United States of America,87.4,teaching,86.5
2891,12,Yale University,United States of America,87.4,income,43.3
1449,12,Yale University,United States of America,87.4,research,87.8
2171,13,"University of California, Berkeley",United States of America,87.2,citations,99.7
1450,13,"University of California, Berkeley",United States of America,87.2,research,91.1
729,13,"University of California, Berkeley",United States of America,87.2,international,61.9
2892,13,"University of California, Berkeley",United States of America,87.2,income,47.9
8,13,"University of California, Berkeley",United States of America,87.2,teaching,80.4
870,14,University College London,United Kingdom,87.1,international,94.4
149,14,University College London,United Kingdom,87.1,teaching,78.1
1591,14,University College London,United Kingdom,87.1,research,91
3033,14,University College London,United Kingdom,87.1,income,40.5
2312,14,University College London,United Kingdom,87.1,citations,94.2
